,Cosine
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
11,0.2922040536343609
12,0.28863532531790725
13,0.28159452571665516
0,0.3518148974314932
1,0.3514591032163868
2,0.3474157040406782
3,0.3558423069449895
4,0.3468875766091771
5,0.34346595293551896
6,0.35846896479772034
7,0.3563712705264649
8,0.33971715895412713
9,0.34046317845910473
10,0.3280215464486949
11,0.3327750190219764
12,0.3201562863456045
13,0.32576037427983495
0,0.3174151480267582
1,0.3071927017693964
2,0.31464978505212293
3,0.3164262482678795
4,0.30534377067759677
5,0.3025875480038616
6,0.3068518339173564
7,0.3130191478000096
8,0.2900498693650262
9,0.2989250362957313
10,0.29235187748278035
