,Cosine
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
1,0.38597255893997856
2,0.33884556659472764
3,0.3228073058498471
4,0.26046835962795667
5,0.21738924533304407
6,0.211340938980755
7,0.20024629796809168
8,0.17044324379324044
9,0.14640055358076123
10,0.1579837339261619
11,0.14311519842553294
12,0.1507864924191091
13,0.12694352864499017
0,0.4537060434909957
1,0.4155501998758547
2,0.3744552208448893
3,0.32689043061320794
4,0.2753476006388073
5,0.24094378191039506
6,0.20924674766511459
7,0.1955372756894327
8,0.1729519053426111
9,0.16389172979072839
10,0.14941555826958527
11,0.15192862128375081
12,0.15415877685208917
13,0.13397314530867357
0,0.4050891736658795
