,Cosine
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
1,0.3531501041256801
2,0.3501685786139501
3,0.36000337547892247
4,0.3520179999655826
5,0.3497634082996936
6,0.36626132137272766
7,0.36567794574075146
8,0.35115052192943913
9,0.35400687984062945
10,0.34375368497876124
11,0.35065065282757923
12,0.34096244196458253
13,0.34892123179361123
0,0.3183861260530198
1,0.3086151339299458
2,0.3169422965125113
3,0.3194694054342075
4,0.30952339323934
5,0.3077148302675418
6,0.31287395887312586
7,0.3211612786291703
8,0.29955050399161365
9,0.3104964302938929
10,0.3058781787525615
11,0.30718072369763527
12,0.3043689322653586
13,0.30052510038913316
0,0.3529946205150263
