,Cosine
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
5,0.22227482916109437
6,0.22067072817000707
7,0.20977986910973256
8,0.18186008656033795
9,0.178827978946057
10,0.15940262088405022
11,0.16519584314724844
12,0.15452884801971153
13,0.16461898680337286
0,0.3060627495511086
1,0.2851775740805314
2,0.27373956246514947
3,0.2580466002759651
4,0.22427048448042797
5,0.2077129941930404
6,0.20171393314838051
7,0.19064620180918193
8,0.16332606055528037
9,0.16443982955268335
10,0.15210700258497034
11,0.15592599030578333
12,0.1676666911466419
13,0.1457069490554517
0,0.3375538215267693
1,0.32403359701723666
2,0.2968723670357313
3,0.27629025623703185
4,0.246845805906962
